Rodada;Data;Horario;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
1;29/03/2003;16h00;Sabado;Athletico-PR;Gremio;Athletico-PR;Arena da Baixada;2;0;PR;RS;PR
1;29/03/2003;16h00;Sabado;Guarani;Vasco;Guarani;Brinco de Ouro;4;2;SP;RJ;SP
1;30/03/2003;16h00;Domingo;Fortaleza;Bahia;-;Castelao;0;0;CE;BA;-
1;30/03/2003;16h00;Domingo;Flamengo;Coritiba;-;Maracana;1;1;RJ;PR;-
1;30/03/2003;16h00;Domingo;Vitoria;Figueirense;-;Barradao;1;1;ES;SC;-
1;30/03/2003;18h00;Domingo;Santos;Parana;-;Vila Belmiro;2;2;SP;PR;-
1;30/03/2003;16h00;Domingo;Goias;Paysandu;-;Serra Dourada;2;2;GO;PA;-
1;30/03/2003;16h00;Domingo;Internacional;Ponte Preta;-;Beira Rio;1;1;RS;SP;-
1;30/03/2003;16h00;Domingo;Cruzeiro;Sao Caetano;-;Mineirao;2;2;MG;SP;-
1;30/03/2003;16h00;Domingo;Juventude;Sao Paulo;-;Alfredo Jaconi;2;2;RS;SP;-
1;30/03/2003;18h00;Domingo;Corinthians;Atletico-MG;Atletico-MG;Pacaembu;0;3;SP;MG;MG
1;30/03/2003;16h00;Domingo;Criciuma;Fluminense;Criciuma;Heriberto Hulse;2;0;SC;RJ;SC
2;05/04/2003;16h00;Sabado;Fluminense;Fortaleza;-;Maracana;1;1;RJ;CE;-
2;05/04/2003;16h00;Sabado;Atletico-MG;Santos;-;Mineirao;0;0;MG;SP;-
2;05/04/2003;18h00;Sabado;Gremio;Guarani;Gremio;Olimpico Monumental;3;1;RS;SP;RS
2;05/04/2003;16h00;Sabado;Coritiba;Internacional;Internacional;Couto Pereira;0;1;PR;RS;RS
2;06/04/2003;16h00;Domingo;Figueirense;Corinthians;-;Orlando Scarpelli;3;3;SC;SP;-
2;06/04/2003;18h00;Domingo;Sao Paulo;Cruzeiro;Cruzeiro;Morumbi;2;4;SP;MG;MG
2;06/04/2003;16h00;Domingo;Bahia;Flamengo;Flamengo;Fonte Nova;1;2;BA;RJ;RJ
2;06/04/2003;16h00;Domingo;Parana;Athletico-PR;Parana;Pinheirao;3;0;PR;PR;PR
2;06/04/2003;16h00;Domingo;Ponte Preta;Juventude;Ponte Preta;Moises Lucarelli;1;0;SP;RS;SP
2;06/04/2003;16h00;Domingo;Sao Caetano;Criciuma;Sao Caetano;Anacleto Campanella;3;2;SP;SC;SP
2;06/04/2003;18h00;Domingo;Vasco;Goias;Vasco;Sao Januario;6;4;RJ;GO;RJ
2;06/04/2003;16h00;Domingo;Paysandu;Vitoria;Vitoria;Mangueirao;1;2;PA;ES;ES
4;09/04/2003;21h40;Quarta-feira;Paysandu;Santos;Paysandu;Mangueirao;2;1;PA;SP;PA
3;12/04/2003;16h00;Sabado;Athletico-PR;Atletico-MG;Atletico-MG;Arena da Baixada;1;2;PR;MG;MG
3;12/04/2003;18h00;Sabado;Corinthians;Paysandu;Corinthians;Pacaembu;6;1;SP;PA;SP
3;12/04/2003;16h00;Sabado;Internacional;Bahia;Internacional;Beira Rio;2;0;RS;BA;RS
3;12/04/2003;16h00;Sabado;Santos;Figueirense;Santos;Vila Belmiro;2;0;SP;SC;SP
3;13/04/2003;16h00;Domingo;Goias;Gremio;-;Serra Dourada;1;1;GO;RS;-
3;13/04/2003;16h00;Domingo;Fortaleza;Sao Caetano;-;Presidente Vargas;1;1;CE;SP;-
3;13/04/2003;16h00;Domingo;Criciuma;Sao Paulo;-;Heriberto Hulse;1;1;SC;SP;-
3;13/04/2003;18h00;Domingo;Cruzeiro;Ponte Preta;Cruzeiro;Mineirao;3;0;MG;SP;MG
3;13/04/2003;18h00;Domingo;Flamengo;Fluminense;Flamengo;Maracana;4;1;RJ;RJ;RJ
3;13/04/2003;16h00;Domingo;Guarani;Parana;Guarani;Brinco de Ouro;2;0;SP;PR;SP
3;13/04/2003;16h00;Domingo;Juventude;Coritiba;Juventude;Alfredo Jaconi;2;1;RS;PR;RS
3;13/04/2003;16h00;Domingo;Vitoria;Vasco;Vitoria;Barradao;2;1;ES;RJ;ES
4;16/04/2003;20h30;Quarta-feira;Figueirense;Athletico-PR;-;Orlando Scarpelli;1;1;SC;PR;-
4;16/04/2003;21h40;Quarta-feira;Vasco;Corinthians;-;Sao Januario;2;2;RJ;SP;-
4;16/04/2003;20h30;Quarta-feira;Ponte Preta;Criciuma;-;Moises Lucarelli;1;1;SP;SC;-
4;16/04/2003;21h40;Quarta-feira;Sao Caetano;Flamengo;-;Anacleto Campanella;1;1;SP;RJ;-
4;16/04/2003;20h30;Quarta-feira;Atletico-MG;Guarani;Atletico-MG;Mineirao;3;2;MG;SP;MG
4;16/04/2003;20h30;Quarta-feira;Bahia;Juventude;Bahia;Fonte Nova;3;1;BA;RS;BA
4;16/04/2003;21h40;Quarta-feira;Coritiba;Cruzeiro;Cruzeiro;Couto Pereira;3;4;PR;MG;MG
4;16/04/2003;20h30;Quarta-feira;Gremio;Vitoria;Gremio;Olimpico Monumental;2;1;RS;ES;RS
4;17/04/2003;20h30;Quinta-feira;Fluminense;Internacional;Fluminense;Maracana;3;1;RJ;RS;RJ
4;17/04/2003;20h30;Quinta-feira;Parana;Goias;Parana;Pinheirao;3;1;PR;GO;PR
4;17/04/2003;20h30;Quinta-feira;Sao Paulo;Fortaleza;Sao Paulo;Morumbi;3;1;SP;CE;SP
12;18/04/2003;20h30;Quarta-feira;Flamengo;Cruzeiro;Flamengo;Maracana;3;0;RJ;MG;RJ
5;19/04/2003;16h00;Sabado;Sao Caetano;Gremio;-;Anacleto Campanella;1;1;SP;RS;-
5;19/04/2003;16h00;Sabado;Bahia;Atletico-MG;Atletico-MG;Fonte Nova;2;4;BA;MG;MG
5;19/04/2003;18h00;Sabado;Flamengo;Santos;Santos;Maracana;0;2;RJ;SP;SP
5;20/04/2003;18h00;Domingo;Fluminense;Parana;-;Maracana;0;0;RJ;PR;-
5;20/04/2003;16h00;Domingo;Ponte Preta;Paysandu;-;Moises Lucarelli;4;4;SP;PA;-
5;20/04/2003;16h00;Domingo;Juventude;Vitoria;-;Alfredo Jaconi;1;1;RS;ES;-
5;20/04/2003;16h00;Domingo;Criciuma;Guarani;Criciuma;Heriberto Hulse;1;0;SC;SP;SC
5;20/04/2003;18h00;Domingo;Cruzeiro;Goias;Cruzeiro;Mineirao;4;1;MG;GO;MG
5;20/04/2003;16h00;Domingo;Fortaleza;Athletico-PR;Fortaleza;Presidente Vargas;1;0;CE;PR;CE
5;20/04/2003;16h00;Domingo;Internacional;Corinthians;Internacional;Beira Rio;2;1;RS;SP;RS
5;20/04/2003;16h00;Domingo;Sao Paulo;Vasco;Sao Paulo;Morumbi;3;1;SP;RJ;SP
5;21/04/2003;20h30;Segunda-feira;Coritiba;Figueirense;Coritiba;Couto Pereira;1;0;PR;SC;PR
6;26/04/2003;18h00;Sabado;Guarani;Cruzeiro;-;Brinco de Ouro;1;1;SP;MG;-
6;26/04/2003;16h00;Sabado;Atletico-MG;Coritiba;Coritiba;Mineirao;1;2;MG;PR;PR
6;26/04/2003;16h00;Sabado;Vitoria;Internacional;Internacional;Barradao;0;3;ES;RS;RS
6;26/04/2003;16h00;Sabado;Parana;Bahia;Parana;Pinheirao;3;1;PR;BA;PR
6;27/04/2003;16h00;Domingo;Corinthians;Flamengo;-;Pacaembu;1;1;SP;RJ;-
6;27/04/2003;16h00;Domingo;Figueirense;Ponte Preta;-;Orlando Scarpelli;0;0;SC;SP;-
6;27/04/2003;16h00;Domingo;Athletico-PR;Criciuma;Athletico-PR;Arena da Baixada;4;2;PR;SC;PR
6;27/04/2003;16h00;Domingo;Gremio;Fluminense;Fluminense;Olimpico Monumental;0;1;RS;RJ;RJ
6;27/04/2003;16h00;Domingo;Goias;Juventude;Goias;Serra Dourada;7;0;GO;RS;GO
6;27/04/2003;18h00;Domingo;Paysandu;Sao Paulo;Paysandu;Mangueirao;5;2;PA;SP;PA
6;27/04/2003;16h00;Domingo;Santos;Fortaleza;Santos;Vila Belmiro;4;0;SP;CE;SP
6;27/04/2003;18h00;Domingo;Vasco;Sao Caetano;Vasco;Sao Januario;1;0;RJ;SP;RJ
7;03/05/2003;16h00;Sabado;Bahia;Gremio;Bahia;Fonte Nova;2;1;BA;RS;BA
7;03/05/2003;18h00;Sabado;Cruzeiro;Athletico-PR;Cruzeiro;Mineirao;5;2;MG;PR;MG
7;03/05/2003;16h00;Sabado;Flamengo;Vitoria;Flamengo;Maracana;2;1;RJ;ES;RJ
7;04/05/2003;16h00;Domingo;Juventude;Guarani;-;Alfredo Jaconi;1;1;RS;SP;-
7;04/05/2003;18h00;Domingo;Fluminense;Vasco;-;Maracana;0;0;RJ;RJ;-
7;04/05/2003;16h00;Domingo;Fortaleza;Corinthians;Corinthians;Castelao;1;2;CE;SP;SP
7;04/05/2003;16h00;Domingo;Coritiba;Parana;Coritiba;Couto Pereira;2;1;PR;PR;PR
7;04/05/2003;16h00;Domingo;Internacional;Goias;Internacional;Beira Rio;2;1;RS;GO;RS
7;04/05/2003;16h00;Domingo;Ponte Preta;Atletico-MG;Ponte Preta;Moises Lucarelli;2;1;SP;MG;SP
7;04/05/2003;18h00;Domingo;Criciuma;Santos;Santos;Heriberto Hulse;1;3;SC;SP;SP
7;04/05/2003;16h00;Domingo;Sao Caetano;Paysandu;Sao Caetano;Anacleto Campanella;2;0;SP;PA;SP
7;04/05/2003;16h00;Domingo;Sao Paulo;Figueirense;Sao Paulo;Morumbi;3;2;SP;SC;SP
8;10/05/2003;16h00;Sabado;Goias;Flamengo;-;Serra Dourada;1;1;GO;RJ;-
8;10/05/2003;18h00;Sabado;Corinthians;Criciuma;Corinthians;Pacaembu;3;0;SP;SC;SP
8;10/05/2003;16h00;Sabado;Santos;Cruzeiro;Cruzeiro;Vila Belmiro;0;2;SP;MG;MG
8;10/05/2003;16h00;Sabado;Parana;Ponte Preta;Parana;Pinheirao;3;2;PR;SP;PR
8;11/05/2003;16h00;Domingo;Vasco;Bahia;-;Sao Januario;1;1;RJ;BA;-
8;11/05/2003;16h00;Domingo;Paysandu;Fluminense;-;Mangueirao;2;2;PA;RJ;-
8;11/05/2003;16h00;Domingo;Atletico-MG;Sao Paulo;-;Mineirao;2;2;MG;SP;-
8;11/05/2003;16h00;Domingo;Athletico-PR;Juventude;Athletico-PR;Arena da Baixada;2;0;PR;RS;PR
8;11/05/2003;16h00;Domingo;Figueirense;Sao Caetano;Figueirense;Orlando Scarpelli;3;0;SC;SP;SC
8;11/05/2003;18h00;Domingo;Gremio;Coritiba;Gremio;Olimpico Monumental;1;0;RS;PR;RS
8;11/05/2003;16h00;Domingo;Guarani;Internacional;Guarani;Brinco de Ouro;3;0;SP;RS;SP
8;11/05/2003;16h00;Domingo;Vitoria;Fortaleza;Vitoria;Barradao;2;1;ES;CE;ES
9;17/05/2003;18h00;Sabado;Juventude;Santos;-;Alfredo Jaconi;1;1;RS;SP;-
9;17/05/2003;16h00;Sabado;Fluminense;Figueirense;Fluminense;Maracana;3;0;RJ;SC;RJ
9;17/05/2003;16h00;Sabado;Sao Caetano;Atletico-MG;Sao Caetano;Anacleto Campanella;2;0;SP;MG;SP
9;18/05/2003;16h00;Domingo;Internacional;Athletico-PR;-;Beira Rio;1;1;RS;PR;-
9;18/05/2003;16h00;Domingo;Cruzeiro;Corinthians;-;Mineirao;1;1;MG;SP;-
9;18/05/2003;18h00;Domingo;Flamengo;Guarani;-;Maracana;1;1;RJ;SP;-
9;18/05/2003;16h00;Domingo;Coritiba;Vasco;-;Couto Pereira;1;1;PR;RJ;-
9;18/05/2003;16h00;Domingo;Criciuma;Vitoria;-;Heriberto Hulse;1;1;SC;ES;-
9;18/05/2003;16h00;Domingo;Bahia;Paysandu;Bahia;Fonte Nova;2;0;BA;PA;BA
9;18/05/2003;16h00;Domingo;Fortaleza;Goias;Fortaleza;Castelao;1;0;CE;GO;CE
9;18/05/2003;16h00;Domingo;Ponte Preta;Gremio;Ponte Preta;Moises Lucarelli;2;1;SP;RS;SP
9;18/05/2003;18h00;Domingo;Sao Paulo;Parana;Sao Paulo;Morumbi;2;0;SP;PR;SP
10;24/05/2003;16h00;Sabado;Parana;Sao Caetano;-;Pinheirao;1;1;PR;SP;-
10;24/05/2003;16h00;Sabado;Atletico-MG;Fluminense;Atletico-MG;Independencia;3;0;MG;RJ;MG
10;24/05/2003;16h00;Sabado;Corinthians;Juventude;Corinthians;Pacaembu;3;0;SP;RS;SP
10;24/05/2003;18h00;Sabado;Vasco;Ponte Preta;Vasco;Sao Januario;1;0;RJ;SP;RJ
10;25/05/2003;16h00;Domingo;Athletico-PR;Flamengo;Athletico-PR;Arena da Baixada;4;1;PR;RJ;PR
10;25/05/2003;16h00;Domingo;Paysandu;Coritiba;Coritiba;Mangueirao;1;3;PA;PR;PR
10;25/05/2003;16h00;Domingo;Goias;Criciuma;Criciuma;Serra Dourada;0;2;GO;SC;SC
10;25/05/2003;16h00;Domingo;Figueirense;Bahia;Figueirense;Orlando Scarpelli;1;0;SC;BA;SC
10;25/05/2003;16h00;Domingo;Guarani;Fortaleza;Guarani;Brinco de Ouro;2;1;SP;CE;SP
10;25/05/2003;18h00;Domingo;Santos;Internacional;Santos;Vila Belmiro;2;1;SP;RS;SP
10;25/05/2003;16h00;Domingo;Gremio;Sao Paulo;Sao Paulo;Olimpico Monumental;1;2;RS;SP;SP
10;25/05/2003;18h00;Domingo;Vitoria;Cruzeiro;Vitoria;Barradao;2;1;ES;MG;ES
11;31/05/2003;16h00;Sabado;Ponte Preta;Sao Caetano;-;Moises Lucarelli;0;0;SP;SP;-
11;31/05/2003;16h00;Sabado;Coritiba;Guarani;Coritiba;Couto Pereira;3;2;PR;SP;PR
11;31/05/2003;16h00;Sabado;Cruzeiro;Criciuma;Cruzeiro;Mineirao;2;0;MG;SC;MG
11;31/05/2003;16h00;Sabado;Fluminense;Athletico-PR;Fluminense;Edson Passos;2;1;RJ;PR;RJ
11;31/05/2003;18h00;Sabado;Internacional;Paysandu;Internacional;Beira Rio;2;1;RS;PA;RS
11;01/06/2003;18h00;Domingo;Vasco;Atletico-MG;-;Sao Januario;2;2;RJ;MG;-
11;01/06/2003;16h00;Domingo;Bahia;Goias;Bahia;Fonte Nova;2;1;BA;GO;BA
11;01/06/2003;18h00;Domingo;Corinthians;Vitoria;Corinthians;Pacaembu;4;0;SP;ES;SP
11;01/06/2003;16h00;Domingo;Figueirense;Gremio;Figueirense;Orlando Scarpelli;2;1;SC;RS;SC
11;01/06/2003;16h00;Domingo;Fortaleza;Juventude;Fortaleza;Castelao;3;1;CE;RS;CE
11;01/06/2003;16h00;Domingo;Parana;Flamengo;Parana;Pinheirao;6;2;PR;RJ;PR
11;01/06/2003;16h00;Domingo;Santos;Sao Paulo;Santos;Vila Belmiro;3;2;SP;SP;SP
12;07/06/2003;18h00;Sabado;Atletico-MG;Figueirense;-;Independencia;1;1;MG;SC;-
12;07/06/2003;16h00;Sabado;Gremio;Fortaleza;Gremio;Olimpico Monumental;3;1;RS;CE;RS
12;07/06/2003;16h00;Sabado;Guarani;Santos;Santos;Brinco de Ouro;1;2;SP;SP;SP
12;07/06/2003;16h00;Sabado;Vitoria;Fluminense;Vitoria;Barradao;2;1;ES;RJ;ES
12;08/06/2003;18h00;Domingo;Sao Paulo;Bahia;-;Morumbi;2;2;SP;BA;-
12;08/06/2003;16h00;Domingo;Juventude;Vasco;-;Alfredo Jaconi;0;0;RS;RJ;-
12;08/06/2003;16h00;Domingo;Athletico-PR;Ponte Preta;Athletico-PR;Arena da Baixada;4;2;PR;SP;PR
12;08/06/2003;16h00;Domingo;Goias;Coritiba;Coritiba;Serra Dourada;1;2;GO;PR;PR
12;08/06/2003;18h00;Domingo;Criciuma;Internacional;Criciuma;Heriberto Hulse;1;0;SC;RS;SC
12;08/06/2003;16h00;Domingo;Paysandu;Parana;Paysandu;Mangueirao;3;0;PA;PR;PA
12;08/06/2003;16h00;Domingo;Sao Caetano;Corinthians;Sao Caetano;Anacleto Campanella;1;0;SP;SP;SP
13;14/06/2003;18h00;Sabado;Coritiba;Athletico-PR;Coritiba;Couto Pereira;2;0;PR;PR;PR
13;14/06/2003;16h00;Sabado;Fluminense;Goias;Goias;Maracana;2;3;RJ;GO;GO
13;14/06/2003;16h00;Sabado;Ponte Preta;Guarani;Guarani;Moises Lucarelli;0;2;SP;SP;SP
13;15/06/2003;18h00;Domingo;Cruzeiro;Atletico-MG;-;Mineirao;0;0;MG;MG;-
13;15/06/2003;16h00;Domingo;Gremio;Internacional;-;Olimpico Monumental;0;0;RS;RS;-
13;15/06/2003;16h00;Domingo;Bahia;Vitoria;Bahia;Fonte Nova;2;1;BA;ES;BA
13;15/06/2003;16h00;Domingo;Criciuma;Figueirense;Criciuma;Heriberto Hulse;1;0;SC;SC;SC
13;15/06/2003;18h00;Domingo;Vasco;Flamengo;Flamengo;Maracana;1;2;RJ;RJ;RJ
13;15/06/2003;16h00;Domingo;Parana;Juventude;Juventude;Pinheirao;1;2;PR;RS;RS
13;15/06/2003;16h00;Domingo;Fortaleza;Paysandu;Paysandu;Presidente Vargas;1;2;CE;PA;PA
13;15/06/2003;16h00;Domingo;Santos;Sao Caetano;Sao Caetano;Vila Belmiro;0;1;SP;SP;SP
13;15/06/2003;16h00;Domingo;Corinthians;Sao Paulo;Sao Paulo;Morumbi;1;2;SP;SP;SP
14;19/06/2003;16h00;Quinta-feira;Bahia;Coritiba;-;Fonte Nova;2;2;BA;PR;-
14;21/06/2003;16h00;Sabado;Atletico-MG;Gremio;Atletico-MG;Mineirao;3;2;MG;RS;MG
14;21/06/2003;16h00;Sabado;Internacional;Parana;Internacional;Beira Rio;2;1;RS;PR;RS
14;21/06/2003;18h00;Sabado;Sao Paulo;Goias;Sao Paulo;Morumbi;1;0;SP;GO;SP
14;21/06/2003;16h00;Sabado;Vasco;Criciuma;Vasco;Sao Januario;2;0;RJ;SC;RJ
14;22/06/2003;16h00;Domingo;Ponte Preta;Corinthians;-;Moises Lucarelli;3;3;SP;SP;-
14;22/06/2003;16h00;Domingo;Paysandu;Flamengo;-;Mangueirao;2;2;PA;RJ;-
14;22/06/2003;16h00;Domingo;Figueirense;Fortaleza;-;Orlando Scarpelli;2;2;SC;CE;-
14;22/06/2003;18h00;Domingo;Juventude;Cruzeiro;Cruzeiro;Alfredo Jaconi;0;1;RS;MG;MG
14;22/06/2003;18h00;Domingo;Fluminense;Guarani;Fluminense;Maracana;5;2;RJ;SP;RJ
14;22/06/2003;16h00;Domingo;Sao Caetano;Vitoria;Sao Caetano;Anacleto Campanella;2;1;SP;ES;SP
15;28/06/2003;16h00;Sabado;Coritiba;Sao Caetano;Coritiba;Couto Pereira;2;0;PR;SP;PR
15;28/06/2003;18h00;Sabado;Flamengo;Figueirense;Figueirense;Maracana;0;2;RJ;SC;SC
15;28/06/2003;16h00;Sabado;Gremio;Juventude;Juventude;Olimpico Monumental;1;4;RS;RS;RS
15;28/06/2003;16h00;Sabado;Santos;Bahia;Santos;Vila Belmiro;4;0;SP;BA;SP
15;28/06/2003;16h00;Sabado;Fortaleza;Vasco;Vasco;Castelao;0;1;CE;RJ;RJ
15;29/06/2003;18h00;Domingo;Parana;Atletico-MG;-;Pinheirao;1;1;PR;MG;-
15;29/06/2003;16h00;Domingo;Corinthians;Fluminense;Corinthians;Pacaembu;1;0;SP;RJ;SP
15;29/06/2003;16h00;Domingo;Criciuma;Paysandu;Criciuma;Heriberto Hulse;2;0;SC;PA;SC
15;29/06/2003;18h00;Domingo;Cruzeiro;Internacional;Cruzeiro;Mineirao;3;2;MG;RS;MG
15;29/06/2003;16h00;Domingo;Guarani;Sao Paulo;Sao Paulo;Brinco de Ouro;0;1;SP;SP;SP
15;29/06/2003;16h00;Domingo;Vitoria;Athletico-PR;Vitoria;Barradao;1;0;ES;PR;ES
16;05/07/2003;16h00;Sabado;Sao Paulo;Sao Caetano;-;Morumbi;1;1;SP;SP;-
16;05/07/2003;16h00;Sabado;Atletico-MG;Paysandu;Atletico-MG;Independencia;3;2;MG;PA;MG
16;05/07/2003;16h00;Sabado;Figueirense;Cruzeiro;Figueirense;Orlando Scarpelli;1;0;SC;MG;SC
16;05/07/2003;16h00;Sabado;Vasco;Parana;Parana;Sao Januario;1;4;RJ;PR;PR
16;06/07/2003;16h00;Domingo;Juventude;Internacional;-;Alfredo Jaconi;1;1;RS;RS;-
16;06/07/2003;16h00;Domingo;Athletico-PR;Corinthians;Athletico-PR;Arena da Baixada;3;1;PR;SP;PR
16;06/07/2003;16h00;Domingo;Fortaleza;Criciuma;Criciuma;Presidente Vargas;0;1;CE;SC;SC
16;06/07/2003;18h00;Domingo;Fluminense;Bahia;Fluminense;Maracana;1;0;RJ;BA;RJ
16;06/07/2003;16h00;Domingo;Gremio;Flamengo;Gremio;Olimpico Monumental;2;0;RS;RJ;RS
16;06/07/2003;16h00;Domingo;Guarani;Goias;Guarani;Brinco de Ouro;3;2;SP;GO;SP
16;06/07/2003;16h00;Domingo;Vitoria;Ponte Preta;Ponte Preta;Barradao;1;4;ES;SP;SP
16;06/07/2003;18h00;Domingo;Santos;Coritiba;Santos;Vila Belmiro;3;1;SP;PR;SP
17;09/07/2003;16h00;Quarta-feira;Sao Caetano;Athletico-PR;-;Anacleto Campanella;0;0;SP;PR;-
17;09/07/2003;16h00;Quarta-feira;Corinthians;Santos;-;Morumbi;1;1;SP;SP;-
17;09/07/2003;20h30;Quarta-feira;Goias;Vitoria;-;Serra Dourada;1;1;GO;ES;-
17;09/07/2003;20h30;Quarta-feira;Bahia;Guarani;Bahia;Fonte Nova;2;0;BA;SP;BA
17;09/07/2003;20h30;Quarta-feira;Cruzeiro;Fortaleza;Cruzeiro;Mineirao;2;0;MG;CE;MG
17;09/07/2003;20h30;Quarta-feira;Flamengo;Juventude;Flamengo;Maracana;2;1;RJ;RS;RJ
17;09/07/2003;21h40;Quarta-feira;Internacional;Vasco;Internacional;Beira Rio;2;1;RS;RJ;RS
17;09/07/2003;20h30;Quarta-feira;Paysandu;Figueirense;Paysandu;Mangueirao;1;0;PA;SC;PA
17;09/07/2003;21h40;Quarta-feira;Coritiba;Sao Paulo;Sao Paulo;Couto Pereira;0;2;PR;SP;SP
17;10/07/2003;20h30;Quinta-feira;Criciuma;Atletico-MG;Criciuma;Heriberto Hulse;1;0;SC;MG;SC
17;10/07/2003;20h30;Quinta-feira;Parana;Gremio;Parana;Pinheirao;3;1;PR;RS;PR
17;10/07/2003;20h30;Quinta-feira;Ponte Preta;Fluminense;Ponte Preta;Moises Lucarelli;3;0;SP;RJ;SP
18;12/07/2003;16h00;Sabado;Athletico-PR;Goias;-;Arena da Baixada;0;0;PR;GO;-
18;12/07/2003;16h00;Sabado;Fortaleza;Internacional;Fortaleza;Castelao;3;0;CE;RS;CE
18;12/07/2003;18h00;Sabado;Vasco;Paysandu;Paysandu;Sao Januario;0;2;RJ;PA;PA
18;13/07/2003;16h00;Domingo;Atletico-MG;Flamengo;Atletico-MG;Mineirao;1;0;MG;RJ;MG
18;13/07/2003;16h00;Domingo;Corinthians;Coritiba;Coritiba;Morumbi;0;1;SP;PR;PR
18;13/07/2003;16h00;Domingo;Criciuma;Juventude;Criciuma;Heriberto Hulse;3;0;SC;RS;SC
18;13/07/2003;18h00;Domingo;Gremio;Cruzeiro;Cruzeiro;Olimpico Monumental;0;1;RS;MG;MG
18;13/07/2003;16h00;Domingo;Figueirense;Parana;Figueirense;Orlando Scarpelli;4;2;SC;PR;SC
18;13/07/2003;16h00;Domingo;Sao Caetano;Guarani;Guarani;Anacleto Campanella;0;2;SP;SP;SP
18;13/07/2003;16h00;Domingo;Ponte Preta;Bahia;Ponte Preta;Moises Lucarelli;1;0;SP;BA;SP
18;13/07/2003;16h00;Domingo;Fluminense;Sao Paulo;Sao Paulo;Maracana;1;3;RJ;SP;SP
18;13/07/2003;18h00;Domingo;Vitoria;Santos;Vitoria;Barradao;2;0;ES;SP;ES
19;16/07/2003;20h30;Quarta-feira;Internacional;Atletico-MG;-;Beira Rio;3;3;RS;MG;-
19;16/07/2003;21h40;Quarta-feira;Goias;Corinthians;-;Serra Dourada;1;1;GO;SP;-
19;16/07/2003;20h30;Quarta-feira;Bahia;Sao Caetano;-;Fonte Nova;0;0;BA;SP;-
19;16/07/2003;20h30;Quarta-feira;Guarani;Vitoria;-;Brinco de Ouro;2;2;SP;ES;-
19;16/07/2003;20h30;Quarta-feira;Coritiba;Fluminense;Coritiba;Couto Pereira;3;0;PR;RJ;PR
19;16/07/2003;21h40;Quarta-feira;Cruzeiro;Vasco;Cruzeiro;Mineirao;4;1;MG;RJ;MG
19;16/07/2003;20h30;Quarta-feira;Juventude;Figueirense;Figueirense;Alfredo Jaconi;1;2;RS;SC;SC
19;16/07/2003;20h30;Quarta-feira;Flamengo;Fortaleza;Fortaleza;Maracana;0;2;RJ;CE;CE
19;16/07/2003;21h40;Quarta-feira;Santos;Ponte Preta;Santos;Vila Belmiro;2;1;SP;SP;SP
19;17/07/2003;20h30;Quinta-feira;Paysandu;Gremio;-;Mangueirao;1;1;PA;RS;-
19;17/07/2003;20h30;Quinta-feira;Sao Paulo;Athletico-PR;Sao Paulo;Morumbi;2;0;SP;PR;SP
20;19/07/2003;16h00;Sabado;Corinthians;Guarani;Corinthians;Pacaembu;1;0;SP;SP;SP
20;19/07/2003;16h00;Sabado;Fortaleza;Atletico-MG;Fortaleza;Castelao;4;3;CE;MG;CE
20;19/07/2003;18h00;Sabado;Internacional;Figueirense;Internacional;Beira Rio;3;0;RS;SC;RS
20;19/07/2003;16h00;Sabado;Fluminense;Santos;Santos;Giulite Coutinho;1;4;RJ;SP;SP
20;20/07/2003;16h00;Domingo;Ponte Preta;Coritiba;-;Moises Lucarelli;1;1;SP;PR;-
20;20/07/2003;16h00;Domingo;Athletico-PR;Bahia;Athletico-PR;Arena da Baixada;2;1;PR;BA;PR
20;20/07/2003;16h00;Domingo;Criciuma;Flamengo;Criciuma;Heriberto Hulse;4;3;SC;RJ;SC
20;20/07/2003;18h00;Domingo;Cruzeiro;Parana;Cruzeiro;Mineirao;5;1;MG;PR;MG
20;20/07/2003;16h00;Domingo;Goias;Sao Caetano;Goias;Serra Dourada;2;1;GO;SP;GO
20;20/07/2003;16h00;Domingo;Juventude;Paysandu;Juventude;Alfredo Jaconi;2;0;RS;PA;RS
20;20/07/2003;16h00;Domingo;Vitoria;Sao Paulo;Sao Paulo;Barradao;0;2;ES;SP;SP
20;20/07/2003;18h00;Domingo;Vasco;Gremio;Vasco;Sao Januario;2;0;RJ;RS;RJ
21;23/07/2003;21h40;Quarta-feira;Bahia;Corinthians;-;Fonte Nova;0;0;BA;SP;-
21;23/07/2003;21h40;Quarta-feira;Santos;Goias;-;Vila Belmiro;3;3;SP;GO;-
21;23/07/2003;21h40;Quarta-feira;Figueirense;Vasco;-;Orlando Scarpelli;0;0;SC;RJ;-
21;23/07/2003;20h30;Quarta-feira;Atletico-MG;Juventude;Atletico-MG;Mineirao;2;1;MG;RS;MG
21;23/07/2003;20h30;Quarta-feira;Guarani;Athletico-PR;Guarani;Brinco de Ouro;1;0;SP;PR;SP
21;23/07/2003;20h30;Quarta-feira;Parana;Fortaleza;Parana;Pinheirao;4;1;PR;CE;PR
21;23/07/2003;20h30;Quarta-feira;Paysandu;Cruzeiro;Paysandu;Mangueirao;3;0;PA;MG;PA
21;24/07/2003;20h30;Quinta-feira;Coritiba;Vitoria;-;Couto Pereira;1;1;PR;ES;-
