,id,chave,rodada,equipe_mandante,equipe_visitante,is_finalizado,jogo_ficticio,hora_realizacao,jogo_id,data_realizacao,escalacao_equipe_mandante_id,escalacao_equipe_visitante_id,placar_oficial_mandante,placar_oficial_visitante,placar_penaltis_mandante,placar_penaltis_visitante,empate,suspenso,cancelado,wo,decisivo,publico_total,renda,renda_moeda,observacao,publico_pagante,ordem_na_chave,fase,sede,vencedor_jogo
30,8454,,3,Atletico-GO,Botafogo,True,False,18:30:00,287566,2022-04-24,478481,478482,1,1,,,True,False,False,False,False,4427,187610.0,REAL,,3928,,101,113,
31,8455,,4,America-MG,Athletico-PR,True,False,16:30:00,287578,2022-04-30,478562,478563,1,0,,,False,False,False,False,False,2433,33765.0,REAL,,1201,,101,39,38
32,8456,,4,Ceara,Bragantino,True,False,16:30:00,287584,2022-04-30,478564,478565,0,1,,,False,False,False,False,False,,225633.0,REAL,,23211,,101,99,11
33,8457,,4,Cuiaba,Atletico-GO,True,False,19:00:00,287586,2022-04-30,478568,478569,1,1,,,True,False,False,False,False,4517,88550.0,REAL,,3796,,101,116,
34,8458,,4,Goias,CAM,True,False,18:30:00,287585,2022-04-30,478566,478567,2,2,,,True,False,False,False,False,10165,263970.0,REAL,,8329,,101,177,
35,8459,,4,Botafogo,Juventude,True,False,11:00:00,287582,2022-05-01,478570,478571,1,1,,,True,False,False,False,False,34734,1201275.0,REAL,,31512,,101,31,
36,8460,,4,Corinthians,Fortaleza,True,False,16:00:00,287581,2022-05-01,478572,478573,1,0,,,False,False,False,False,False,,2510888.0,REAL,,36742,,101,6,2
37,8461,,4,Coritiba,Fluminense,True,False,16:00:00,287587,2022-05-01,478574,478575,3,2,,,False,False,False,False,False,,424805.0,REAL,,23465,,101,111,40
38,8462,,4,Internacional,Avai,True,False,19:00:00,287583,2022-05-01,478576,478577,0,0,,,True,False,False,False,False,,963264.0,REAL,,20808,,101,53,
39,8463,,4,Sao Paulo,Santos,True,False,20:00:00,287580,2022-05-02,478578,478579,2,1,,,False,False,False,False,False,,1581896.0,REAL,,36746,,101,16,4
40,8464,,5,CAM,America-MG,True,False,16:30:00,287628,2022-05-07,478718,478717,1,2,,,False,False,False,False,False,14629,437697.0,REAL,,11714,,101,39,38
41,8465,,5,Flamengo,Botafogo,True,False,11:00:00,287629,2022-05-08,478721,478722,0,1,,,False,False,False,False,False,,4800370.0,REAL,,54981,,101,27,18
42,8466,,5,Athletico-PR,Ceara,True,False,20:30:00,287637,2022-05-07,478719,478720,1,0,,,False,False,False,False,False,,210630.0,REAL,,12325,,101,49,44
43,8467,,5,Palmeiras,Fluminense,True,False,16:00:00,287631,2022-05-08,478723,478724,1,1,,,True,False,False,False,False,,1748880.0,REAL,,28776,,101,11,
44,8468,,5,Atletico-GO,Goias,True,False,16:00:00,287635,2022-05-08,478726,478725,0,1,,,False,False,False,False,False,5431,65675.0,REAL,,4683,,101,113,32
45,8469,,5,Bragantino,Corinthians,True,False,18:00:00,287630,2022-05-08,478727,478728,0,1,,,False,False,False,False,False,,342805.0,REAL,,9993,,101,4,2
46,8470,,5,Santos,Cuiaba,True,False,18:00:00,287632,2022-05-08,478729,478730,4,1,,,False,False,False,False,False,,221095.0,REAL,,7256,,101,2,3
